Edge TPU Compiler version 16.0.384591198
Input: tflite_from_saved_model/model_full_integer_quant.tflite
Output: tflite_from_saved_model/model_full_integer_quant_edgetpu.tflite

Operator                       Count      Status

RESIZE_BILINEAR                1          Operation is otherwise supported, but not mapped due to some unspecified limitation
RESIZE_BILINEAR                3          Mapped to Edge TPU
QUANTIZE                       3          Mapped to Edge TPU
MAX_POOL_2D                    1          Mapped to Edge TPU
CONCATENATION                  1          Mapped to Edge TPU
CONV_2D                        44         Mapped to Edge TPU
MUL                            4          Mapped to Edge TPU
MEAN                           1          Mapped to Edge TPU
ADD                            12         Mapped to Edge TPU
ARG_MAX                        1          Operation is working on an unsupported data type
LOGISTIC                       2          Mapped to Edge TPU
DEPTHWISE_CONV_2D              16         Mapped to Edge TPU
AVERAGE_POOL_2D                1          Mapped to Edge TPU
